model,time,"(1,1)","(1,2)","(2,2)","(1,inf)","(2,inf)",dim
Naive Counting,1.292,,,,,,
DotHash,1.054,1.129,18.218,95.057,25.087,407.185,1024.0
DotHash++,1.082,0.52,10.763,138.631,13.045,563.86,1024.0
DotHash+Cluster200,17.422,0.935,17.738,92.949,20.188,405.135,1024.0
DotHash+Cluster400,26.486,0.902,21.425,85.405,24.85,372.043,1024.0
DotHash+Cluster800,43.228,1.057,14.243,88.922,18.416,377.852,1024.0
DotHash,1.247,0.629,11.569,57.149,14.124,231.556,1536.0
DotHash++,1.315,0.305,6.325,69.25,7.43,289.821,1536.0
DotHash+Cluster200,17.645,0.663,11.286,66.931,13.791,288.193,1536.0
DotHash+Cluster400,26.692,0.606,10.373,62.462,14.087,253.761,1536.0
DotHash+Cluster800,42.257,0.697,11.723,50.758,13.924,218.274,1536.0
DotHash,1.344,0.537,10.399,53.747,12.778,238.816,1792.0
DotHash++,1.43,0.267,5.086,61.112,6.389,255.091,1792.0
DotHash+Cluster200,17.704,0.519,10.098,55.092,12.488,235.91,1792.0
DotHash+Cluster400,26.867,0.472,10.745,62.649,12.495,247.879,1792.0
DotHash+Cluster800,42.321,0.536,7.878,62.113,10.111,247.666,1792.0
